Name,Sector,Address,City,State,Zip,Waste_Tons,Latitude,Longitude,Source_File
125 N Ludlow St LLC,Other Grocery and Related Products Merchant Wholesalers,125 N Ludlow St,Dayton,OH,45402.0,0.0,39.761524,-84.194484,FoodWholesaleAndRetail.xlsx
Lucky's Taproom & Eatery,Full-Service Restaurants,520 E 5th St,Dayton,OH,45402.0,33.92,39.756951,-84.182996,RestaurantsAndFoodServices.xlsx
Lotus White,Full-Service Restaurants,327 E 3rd St,Dayton,OH,45402.0,13.568,39.760568,-84.186524,RestaurantsAndFoodServices.xlsx
Lilys Bistro,Full-Service Restaurants,329 E 5th St,Dayton,OH,45402.0,15.264,39.7574,-84.185729,RestaurantsAndFoodServices.xlsx
Home Style Chili,Full-Service Restaurants,131 N Ludlow St,Dayton,OH,45402.0,16.96,39.761702,-84.194524,RestaurantsAndFoodServices.xlsx
Freeze Frame,Limited-Service Restaurants,905 E 3rd St,Dayton,OH,45402.0,13.5,39.762076,-84.179087,RestaurantsAndFoodServices.xlsx
Flightline Coffee,Limited-Service Restaurants,109 N Main St Ste 500,Dayton,OH,45402.0,12.0,39.761294,-84.192635,RestaurantsAndFoodServices.xlsx
Feast of Fibers Dyeworks LLC,Full-Service Restaurants,936 W Grand Ave,Dayton,OH,45402.0,10.176,39.76679,-84.212275,RestaurantsAndFoodServices.xlsx
Cupcake's Catering,Caterers,1209 Seneca Dr,Dayton,OH,45402.0,8.48,39.769523,-84.233286,RestaurantsAndFoodServices.xlsx
Corner Kitchen,Full-Service Restaurants,613 E 5th St,Dayton,OH,45402.0,15.264,39.75725,-84.182559,RestaurantsAndFoodServices.xlsx
Century Bar,Full-Service Restaurants,10 S Jefferson St,Dayton,OH,45402.0,4.688574,39.759465,-84.189712,RestaurantsAndFoodServices.xlsx
Boston Stoker Inc,Limited-Service Restaurants,34 W 2nd St,Dayton,OH,45402.0,22.5,39.760994,-84.192723,RestaurantsAndFoodServices.xlsx
Barking LLC,Limited-Service Restaurants,257 Wayne Ave,Dayton,OH,45402.0,0.983598,39.757461,-84.182754,RestaurantsAndFoodServices.xlsx
Aramark Correctional Services LLC,Limited-Service Restaurants,330 W 2nd St,Dayton,OH,45402.0,37.5,39.759821,-84.197755,RestaurantsAndFoodServices.xlsx
123 Palestine Will Be Free LLC,Limited-Service Restaurants,44 W 3rd St,Dayton,OH,45402.0,1.91598,39.759555,-84.192444,RestaurantsAndFoodServices.xlsx
Top of The Market Banquet Center,Supermarkets and Other Grocery (except Convenience) Stores,32 Webster St,Dayton,OH,45402.0,18.56,39.762166,-84.181592,FoodWholesaleAndRetail.xlsx
The Convenient Loft Inc,Convenience Stores,500 E 3rd St,Dayton,OH,45402.0,6.96,39.760593,-84.18423,FoodWholesaleAndRetail.xlsx
Tech Town New Market Inc,Supermarkets and Other Grocery (except Convenience) Stores,8 N Main St,Dayton,OH,45402.0,37.282805,39.628565,-84.158774,FoodWholesaleAndRetail.xlsx
Riverview Market,Supermarkets and Other Grocery (except Convenience) Stores,1600 W Riverview Ave,Dayton,OH,45402.0,6.96,39.762477,-84.219686,FoodWholesaleAndRetail.xlsx
"Mound Street Meat Market, LLC",Convenience Stores,900 W 3rd St,Dayton,OH,45402.0,1.07774,39.756406,-84.209203,FoodWholesaleAndRetail.xlsx
Mr. Skillet LLC,Full-Service Restaurants,73 N Dutoit St,Dayton,OH,45402.0,8.48,39.76315,-84.175045,RestaurantsAndFoodServices.xlsx
More For Less,Supermarkets and Other Grocery (except Convenience) Stores,444 N James H McGee Blvd B,Dayton,OH,45402.0,11.6,39.760165,-84.228245,FoodWholesaleAndRetail.xlsx
Polo Grill,Limited-Service Restaurants,11 S Ludlow St,Dayton,OH,45402.0,21.0,39.758819,-84.1938,RestaurantsAndFoodServices.xlsx
Serendipity American Bistro,Full-Service Restaurants,25 S Saint Clair St,Dayton,OH,45402.0,13.568,39.759246,-84.188353,RestaurantsAndFoodServices.xlsx
"Spice Paradise, LLC",Dried and Dehydrated Food Manufacturing,8 Brown St,Dayton,OH,45402.0,21.598075,39.757009,-84.185876,FoodManufacturersAndProcessors.xlsx
Lindy's Bakery,Retail Bakeries,701 S Patterson Blvd,Dayton,OH,45402.0,3.848885,39.749502,-84.190409,FoodManufacturersAndProcessors.xlsx
Five Points Distillery LLC,Distilleries,122 Van Buren St,Dayton,OH,45402.0,62.58601,39.756145,-84.181575,FoodManufacturersAndProcessors.xlsx
Baker Salvage Co.,Retail Bakeries,31 S Saint Clair St,Dayton,OH,45402.0,2.8442700000000003,39.759147,-84.18832,FoodManufacturersAndProcessors.xlsx
